2017-03-03 15:21:49 status unpacked base-passwd:armhf 3.5.37
2017-03-03 15:21:49 status half-installed base-passwd:armhf 3.5.37
2017-03-03 15:21:49 status half-installed base-passwd:armhf 3.5.37
2017-03-03 15:21:49 status unpacked base-passwd:armhf 3.5.37
2017-03-03 15:21:49 status unpacked base-passwd:armhf 3.5.37
2017-03-03 15:21:49 install bash:armhf <none> 4.3-11+deb8u1
2017-03-03 15:21:49 status half-installed bash:armhf 4.3-11+deb8u1
2017-03-03 15:21:50 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-03 15:21:50 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-03 15:21:50 install bsdutils:armhf <none> 1:2.25.2-6
2017-03-03 15:21:50 status half-installed bsdutils:armhf 1:2.25.2-6
2017-03-03 15:21:50 status unpacked bsdutils:armhf 1:2.25.2-6
2017-03-03 15:21:50 status unpacked bsdutils:armhf 1:2.25.2-6
2017-03-03 15:21:50 install coreutils:armhf <none> 8.23-4
2017-03-03 15:21:50 status half-installed coreutils:armhf 8.23-4
2017-03-03 15:21:51 status unpacked coreutils:armhf 8.23-4
2017-03-03 15:21:51 status unpacked coreutils:armhf 8.23-4
2017-03-03 15:21:51 install cpio:armhf <none> 2.11+dfsg-4.1+deb8u1
2017-03-03 15:21:51 status half-installed cpio:armhf 2.11+dfsg-4.1+deb8u1
2017-03-03 15:21:52 status unpacked cpio:armhf 2.11+dfsg-4.1+deb8u1
2017-03-03 15:21:52 status unpacked cpio:armhf 2.11+dfsg-4.1+deb8u1
2017-03-03 15:21:52 install dash:armhf <none> 0.5.7-4
2017-03-03 15:21:52 status half-installed dash:armhf 0.5.7-4
2017-03-03 15:21:52 status unpacked dash:armhf 0.5.7-4
2017-03-03 15:21:52 status unpacked dash:armhf 0.5.7-4
2017-03-03 15:21:52 upgrade debconf:all 1.5.56 1.5.56
2017-03-03 15:21:52 status half-configured debconf:all 1.5.56
2017-03-03 15:21:53 status unpacked debconf:all 1.5.56
2017-03-03 15:21:53 status half-installed debconf:all 1.5.56
2017-03-03 15:21:53 status half-installed debconf:all 1.5.56
2017-03-03 15:21:53 status unpacked debconf:all 1.5.56
2017-03-03 15:21:53 status unpacked debconf:all 1.5.56
2017-03-03 15:21:53 install debconf-i18n:all <none> 1.5.56
2017-03-03 15:21:53 status half-installed debconf-i18n:all 1.5.56
2017-03-03 15:21:53 status unpacked debconf-i18n:all 1.5.56
2017-03-03 15:21:53 status unpacked debconf-i18n:all 1.5.56
2017-03-03 15:21:53 install debianutils:armhf <none> 4.4
2017-03-03 15:21:53 status half-installed debianutils:armhf 4.4
2017-03-03 15:21:53 status unpacked debianutils:armhf 4.4
2017-03-03 15:21:53 status unpacked debianutils:armhf 4.4
2017-03-03 15:21:53 install diffutils:armhf <none> 1:3.3-1
2017-03-03 15:21:53 status half-installed diffutils:armhf 1:3.3-1
2017-03-03 15:21:54 status unpacked diffutils:armhf 1:3.3-1
2017-03-03 15:21:54 status unpacked diffutils:armhf 1:3.3-1
2017-03-03 15:21:54 install dmsetup:armhf <none> 2:1.02.90-2.2+deb8u1
2017-03-03 15:21:54 status half-installed dmsetup:armhf 2:1.02.90-2.2+deb8u1
2017-03-03 15:21:54 status unpacked dmsetup:armhf 2:1.02.90-2.2+deb8u1
2017-03-03 15:21:54 status unpacked dmsetup:armhf 2:1.02.90-2.2+deb8u1
2017-03-03 15:21:54 upgrade dpkg:armhf 1.17.27 1.17.27
2017-03-03 15:21:54 status half-configured dpkg:armhf 1.17.27
2017-03-03 15:21:54 status unpacked dpkg:armhf 1.17.27
2017-03-03 15:21:54 status half-installed dpkg:armhf 1.17.27
2017-03-03 15:21:54 status half-installed dpkg:armhf 1.17.27
2017-03-03 15:21:54 status unpacked dpkg:armhf 1.17.27
2017-03-03 15:21:54 status unpacked dpkg:armhf 1.17.27
2017-03-03 15:21:54 install e2fslibs:armhf <none> 1.42.12-2
2017-03-03 15:21:54 status half-installed e2fslibs:armhf 1.42.12-2
2017-03-03 15:21:54 status unpacked e2fslibs:armhf 1.42.12-2
2017-03-03 15:21:55 status unpacked e2fslibs:armhf 1.42.12-2
2017-03-03 15:21:55 install e2fsprogs:armhf <none> 1.42.12-2
2017-03-03 15:21:55 status half-installed e2fsprogs:armhf 1.42.12-2
2017-03-03 15:21:55 status unpacked e2fsprogs:armhf 1.42.12-2
2017-03-03 15:21:55 status unpacked e2fsprogs:armhf 1.42.12-2
2017-03-03 15:21:55 install findutils:armhf <none> 4.4.2-9
2017-03-03 15:21:55 status half-installed findutils:armhf 4.4.2-9
2017-03-03 15:21:56 status unpacked findutils:armhf 4.4.2-9
2017-03-03 15:21:56 status unpacked findutils:armhf 4.4.2-9
2017-03-03 15:21:56 install gcc-4.6-base:armhf <none> 4.6.4-5+rpi1
2017-03-03 15:21:56 status half-installed gcc-4.6-base:armhf 4.6.4-5+rpi1
2017-03-03 15:21:56 status unpacked gcc-4.6-base:armhf 4.6.4-5+rpi1
2017-03-03 15:21:56 status unpacked gcc-4.6-base:armhf 4.6.4-5+rpi1
2017-03-03 15:21:56 install gcc-4.7-base:armhf <none> 4.7.3-11+rpi1
2017-03-03 15:21:56 status half-installed gcc-4.7-base:armhf 4.7.3-11+rpi1
2017-03-03 15:21:56 status unpacked gcc-4.7-base:armhf 4.7.3-11+rpi1
2017-03-03 15:21:56 status unpacked gcc-4.7-base:armhf 4.7.3-11+rpi1
2017-03-03 15:21:56 install gcc-4.8-base:armhf <none> 4.8.4-1
2017-03-03 15:21:56 status half-installed gcc-4.8-base:armhf 4.8.4-1
2017-03-03 15:21:56 status unpacked gcc-4.8-base:armhf 4.8.4-1
2017-03-03 15:21:56 status unpacked gcc-4.8-base:armhf 4.8.4-1
2017-03-03 15:21:56 install gcc-4.9-base:armhf <none> 4.9.2-10
2017-03-03 15:21:56 status half-installed gcc-4.9-base:armhf 4.9.2-10
2017-03-03 15:21:56 status unpacked gcc-4.9-base:armhf 4.9.2-10
2017-03-03 15:21:56 status unpacked gcc-4.9-base:armhf 4.9.2-10
2017-03-03 15:21:56 install grep:armhf <none> 2.20-4.1
2017-03-03 15:21:56 status half-installed grep:armhf 2.20-4.1
2017-03-03 15:21:57 status unpacked grep:armhf 2.20-4.1
2017-03-03 15:21:57 status unpacked grep:armhf 2.20-4.1
2017-03-03 15:21:57 install gzip:armhf <none> 1.6-4
2017-03-03 15:21:57 status half-installed gzip:armhf 1.6-4
2017-03-03 15:21:57 status unpacked gzip:armhf 1.6-4
2017-03-03 15:21:57 status unpacked gzip:armhf 1.6-4
2017-03-03 15:21:57 install hostname:armhf <none> 3.15
2017-03-03 15:21:57 status half-installed hostname:armhf 3.15
2017-03-03 15:21:57 status unpacked hostname:armhf 3.15
2017-03-03 15:21:57 status unpacked hostname:armhf 3.15
2017-03-03 15:21:57 install init:armhf <none> 1.22
2017-03-03 15:21:57 status half-installed init:armhf 1.22
2017-03-03 15:21:57 status unpacked init:armhf 1.22
2017-03-03 15:21:57 status unpacked init:armhf 1.22
2017-03-03 15:21:57 install init-system-helpers:all <none> 1.22
2017-03-03 15:21:57 status half-installed init-system-helpers:all 1.22
2017-03-03 15:21:57 status unpacked init-system-helpers:all 1.22
2017-03-03 15:21:57 status unpacked init-system-helpers:all 1.22
2017-03-03 15:21:57 install initramfs-tools:all <none> 0.120+deb8u2
2017-03-03 15:21:57 status half-installed initramfs-tools:all 0.120+deb8u2
2017-03-03 15:21:58 status unpacked initramfs-tools:all 0.120+deb8u2
2017-03-03 15:21:58 status unpacked initramfs-tools:all 0.120+deb8u2
2017-03-03 15:21:58 install initscripts:armhf <none> 2.88dsf-59
2017-03-03 15:21:58 status half-installed initscripts:armhf 2.88dsf-59
2017-03-03 15:21:58 status unpacked initscripts:armhf 2.88dsf-59
2017-03-03 15:21:58 status unpacked initscripts:armhf 2.88dsf-59
2017-03-03 15:21:58 install insserv:armhf <none> 1.14.0-5
2017-03-03 15:21:58 status half-installed insserv:armhf 1.14.0-5
2017-03-03 15:21:58 status unpacked insserv:armhf 1.14.0-5
2017-03-03 15:21:58 status unpacked insserv:armhf 1.14.0-5
2017-03-03 15:21:58 install klibc-utils:armhf <none> 2.0.4-2+rpi1
2017-03-03 15:21:58 status half-installed klibc-utils:armhf 2.0.4-2+rpi1
2017-03-03 15:21:58 status unpacked klibc-utils:armhf 2.0.4-2+rpi1
2017-03-03 15:21:58 status unpacked klibc-utils:armhf 2.0.4-2+rpi1
2017-03-03 15:21:58 install kmod:armhf <none> 18-3
2017-03-03 15:21:58 status half-installed kmod:armhf 18-3
2017-03-03 15:21:59 status unpacked kmod:armhf 18-3
2017-03-03 15:21:59 status unpacked kmod:armhf 18-3
2017-03-03 15:21:59 install libacl1:armhf <none> 2.2.52-2
2017-03-03 15:21:59 status half-installed libacl1:armhf 2.2.52-2
2017-03-03 15:21:59 status unpacked libacl1:armhf 2.2.52-2
2017-03-03 15:21:59 status unpacked libacl1:armhf 2.2.52-2
2017-03-03 15:21:59 install libattr1:armhf <none> 1:2.4.47-2
2017-03-03 15:21:59 status half-installed libattr1:armhf 1:2.4.47-2
2017-03-03 15:21:59 status unpacked libattr1:armhf 1:2.4.47-2
2017-03-03 15:21:59 status unpacked libattr1:armhf 1:2.4.47-2
2017-03-03 15:21:59 install libaudit-common:all <none> 1:2.4-1
2017-03-03 15:21:59 status half-installed libaudit-common:all 1:2.4-1
2017-03-03 15:21:59 status unpacked libaudit-common:all 1:2.4-1
2017-03-03 15:21:59 status unpacked libaudit-common:all 1:2.4-1
2017-03-03 15:21:59 install libaudit1:armhf <none> 1:2.4-1
2017-03-03 15:21:59 status half-installed libaudit1:armhf 1:2.4-1
2017-03-03 15:21:59 status unpacked libaudit1:armhf 1:2.4-1
2017-03-03 15:21:59 status unpacked libaudit1:armhf 1:2.4-1
2017-03-03 15:21:59 install libblkid1:armhf <none> 2.25.2-6
2017-03-03 15:21:59 status half-installed libblkid1:armhf 2.25.2-6
2017-03-03 15:21:59 status unpacked libblkid1:armhf 2.25.2-6
2017-03-03 15:21:59 status unpacked libblkid1:armhf 2.25.2-6
2017-03-03 15:21:59 install libbz2-1.0:armhf <none> 1.0.6-7
2017-03-03 15:21:59 status half-installed libbz2-1.0:armhf 1.0.6-7
2017-03-03 15:22:00 status unpacked libbz2-1.0:armhf 1.0.6-7
2017-03-03 15:22:00 status unpacked libbz2-1.0:armhf 1.0.6-7
2017-03-03 15:22:00 install libc-bin:armhf <none> 2.19-18+deb8u7
2017-03-03 15:22:00 status half-installed libc-bin:armhf 2.19-18+deb8u7
2017-03-03 15:22:00 status unpacked libc-bin:armhf 2.19-18+deb8u7
2017-03-03 15:22:00 status unpacked libc-bin:armhf 2.19-18+deb8u7
2017-03-03 15:22:00 upgrade libc6:armhf 2.19-18+deb8u7 2.19-18+deb8u7
2017-03-03 15:22:00 status half-configured libc6:armhf 2.19-18+deb8u7
2017-03-03 15:22:00 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-03 15:22:00 status half-installed libc6:armhf 2.19-18+deb8u7
2017-03-03 15:22:02 status half-installed libc6:armhf 2.19-18+deb8u7
2017-03-03 15:22:02 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-03 15:22:02 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-03 15:22:02 install libcap2:armhf <none> 1:2.24-8
2017-03-03 15:22:02 status half-installed libcap2:armhf 1:2.24-8
2017-03-03 15:22:02 status unpacked libcap2:armhf 1:2.24-8
2017-03-03 15:22:02 status unpacked libcap2:armhf 1:2.24-8
2017-03-03 15:22:02 install libcap2-bin:armhf <none> 1:2.24-8
2017-03-03 15:22:02 status half-installed libcap2-bin:armhf 1:2.24-8
2017-03-03 15:22:02 status unpacked libcap2-bin:armhf 1:2.24-8
2017-03-03 15:22:02 status unpacked libcap2-bin:armhf 1:2.24-8
2017-03-03 15:22:02 install libcomerr2:armhf <none> 1.42.12-2
2017-03-03 15:22:02 status half-installed libcomerr2:armhf 1.42.12-2
2017-03-03 15:22:03 status unpacked libcomerr2:armhf 1.42.12-2
2017-03-03 15:22:03 status unpacked libcomerr2:armhf 1.42.12-2
2017-03-03 15:22:03 install libcryptsetup4:armhf <none> 2:1.6.6-5
2017-03-03 15:22:03 status half-installed libcryptsetup4:armhf 2:1.6.6-5
2017-03-03 15:22:03 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2017-03-03 15:22:03 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2017-03-03 15:22:03 install libdb5.3:armhf <none> 5.3.28-9
2017-03-03 15:22:03 status half-installed libdb5.3:armhf 5.3.28-9
2017-03-03 15:22:03 status unpacked libdb5.3:armhf 5.3.28-9
2017-03-03 15:22:03 status unpacked libdb5.3:armhf 5.3.28-9
2017-03-03 15:22:03 install libdbus-1-3:armhf <none> 1.8.22-0+deb8u1
2017-03-03 15:22:03 status half-installed libdbus-1-3:armhf 1.8.22-0+deb8u1
2017-03-03 15:22:04 status unpacked libdbus-1-3:armhf 1.8.22-0+deb8u1
2017-03-03 15:22:04 status unpacked libdbus-1-3:armhf 1.8.22-0+deb8u1
2017-03-03 15:22:04 install libdebconfclient0:armhf <none> 0.192
2017-03-03 15:22:04 status half-installed libdebconfclient0:armhf 0.192
2017-03-03 15:22:04 status unpacked libdebconfclient0:armhf 0.192
2017-03-03 15:22:04 status unpacked libdebconfclient0:armhf 0.192
2017-03-03 15:22:04 install libdevmapper1.02.1:armhf <none> 2:1.02.90-2.2+deb8u1
2017-03-03 15:22:04 status half-installed libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2017-03-03 15:22:04 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2017-03-03 15:22:04 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2017-03-03 15:22:04 install libdrm2:armhf <none> 2.4.58-2
2017-03-03 15:22:04 status half-installed libdrm2:armhf 2.4.58-2
2017-03-03 15:22:04 status unpacked libdrm2:armhf 2.4.58-2
2017-03-03 15:22:04 status unpacked libdrm2:armhf 2.4.58-2
2017-03-03 15:22:04 install libgcc1:armhf <none> 1:4.9.2-10
2017-03-03 15:22:04 status half-installed libgcc1:armhf 1:4.9.2-10
2017-03-03 15:22:04 status unpacked libgcc1:armhf 1:4.9.2-10
2017-03-03 15:22:04 status unpacked libgcc1:armhf 1:4.9.2-10
2017-03-03 15:22:04 install libgcrypt20:armhf <none> 1.6.3-2+deb8u2
2017-03-03 15:22:04 status half-installed libgcrypt20:armhf 1.6.3-2+deb8u2
2017-03-03 15:22:05 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u2
2017-03-03 15:22:05 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u2
2017-03-03 15:22:05 install libgpg-error0:armhf <none> 1.17-3
2017-03-03 15:22:05 status half-installed libgpg-error0:armhf 1.17-3
2017-03-03 15:22:05 status unpacked libgpg-error0:armhf 1.17-3
2017-03-03 15:22:05 status unpacked libgpg-error0:armhf 1.17-3
